Cod.|Descrizione|Tipologia|Categoria|Sottocategoria|Cod. Udm|Cod. Iva|Listino 1 (ivato)|Listino 2 (ivato)|Listino 3 (ivato)|Listino 6 (ivato)|Listino 9 (ivato)|Formula listino 1|Formula listino 2|Formula listino 3|Formula listino 6|Formula listino 9|Note|Cod. a barre|Internet|Produttore|Descriz. web (Sorgente HTML)|Pubblicaz. su web|Extra 1|Extra 2|Extra 3|Extra 4|Cod. fornitore|Fornitore|Cod. prod. forn.|Prezzo forn.|Note fornitura|Ord. a multipli di|Gg. ordine|Scorta min.|Ubicazione|Tot. q.tà caricata|Tot. q.tà scaricata|Q.tà giacenza|Q.tà impegnata|Q.tà disponibile|Q.tà in arrivo|Vendita media mensile|Stima data fine magazz.|Stima data prossimo ordine|Data primo carico|Data ultimo carico|Data ultimo scarico|Costo medio d'acq.|Ultimo costo d'acq.|Prezzo medio vend.|Stato magazzino|Udm Dim.|Dim. netta X|Dim. netta Y|Dim. netta Z|Volume netto|Dim. imballo X|Dim. imballo Y|Dim. imballo Z|Volume imballo|Udm Peso|Peso netto|Peso lordo|Immagine
1463819|Cacciavite Resistorx T27X6 - 100Mm|Art. con magazzino|Utensili Manuali|Cacciaviti e Inserti>>Cacciaviti|PZ|22|2,85|4,3|4,523||6,99||[Prezzo forn. (ivato)] + 50% Arr. €0,1|[Prezzo forn. (ivato)] + 40% + €0,5|||"Lama in acciaio cromo vanadio - Punta magnetica brunita - Dimensioni indicate su lama e testa - Impugnatura morbida bimateriale con punti di appoggio per il pollice per una impugnatura piu' sicura.
Fornito su PLACCHETTA Appendibile"|8004878634468|829|VALEX|"<p>
  punta: T27<br />lunghezza mm: 210&nbsp;&nbsp;<br />lama Ø / lungh. mm: 6/100
</p>"|Sì|95703105|6|http://www.omniaplant.com/immagini_shop/1463819.jpg|1|451.360|Valex S.P.A.|131442378325|2,3554|-||0|0||5|2|3|0|3|0|0,13|25/03/2017|24/03/2017|31/12/2013|31/12/2013|04/05/2014|1,2817|1,2817|2,3361|Regolare|cm|||||||||kg|0,2|0,2|
1463820|Cacciavite Resistorx T30X6 - 115Mm|Art. con magazzino|Utensili Manuali|Cacciaviti e Inserti>>Cacciaviti|PZ|22|2,95|4,5|4,6642||6,99||[Prezzo forn. (ivato)] + 50% Arr. €0,1|[Prezzo forn. (ivato)] + 40% + €0,5|||"Lama in acciaio cromo vanadio - Punta magnetica brunita - Dimensioni indicate su lama e testa - Impugnatura morbida bimateriale con punti di appoggio per il pollice per una impugnatura piu' sicura.
Fornito su PLACCHETTA Appendibile"|8004878634475|830|VALEX|"<p>
  punta: T30:<br />lunghezza mm: 225&nbsp;&nbsp;<br />lama Ø / lungh. mm: 6/115
</p>"|Sì|95703105|6|http://www.omniaplant.com/immagini_shop/1463820.jpg|1|451.360|Valex S.P.A.|131442378340|2,438|-||0|0||5|4|1|0|1|0|0,25|13/08/2015|13/08/2015|31/12/2013|31/12/2013|03/04/2015|1,3267|1,3267|2,418|Regolare|cm|||||||||kg|0,2|0,2|
1463821|Cacciavite Resistorx T40X8 - 150Mm|Art. con magazzino|Utensili Manuali|Cacciaviti e Inserti>>Cacciaviti|PZ|22|3,7|5,6|5,7227||6,99||[Prezzo forn. (ivato)] + 50% Arr. €0,1|[Prezzo forn. (ivato)] + 40% + €0,5|||"Lama in acciaio cromo vanadio - Punta magnetica brunita - Dimensioni indicate su lama e testa - Impugnatura morbida bimateriale con punti di appoggio per il pollice per una impugnatura piu' sicura.
Fornito su PLACCHETTA Appendibile"|8004878634482|831|VALEX|"<p>
  punta: T40:<br />lunghezza mm: 270&nbsp;&nbsp;<br />lama Ø / lungh. mm: 8/150
</p>"|Sì|95703105|6|http://www.omniaplant.com/immagini_shop/1463821.jpg|1|451.360|Valex S.P.A.|131442378413|3,0578|-||0|0||5|0|5|0|5|0|0|||31/12/2013|31/12/2013||1,665|1,665||Regolare|cm|||||||||kg|0,2|0,2|
1463822|Cacciavite Resistorx T45X8 - 150Mm|Art. con magazzino|Utensili Manuali|Cacciaviti e Inserti>>Cacciaviti|PZ|22|3,85|5,8|5,9345||6,99||[Prezzo forn. (ivato)] + 50% Arr. €0,1|[Prezzo forn. (ivato)] + 40% + €0,5|||"Lama in acciaio cromo vanadio - Punta magnetica brunita - Dimensioni indicate su lama e testa - Impugnatura morbida bimateriale con punti di appoggio per il pollice per una impugnatura piu' sicura.
Fornito su PLACCHETTA Appendibile"|8004878634499|832|VALEX|"<p>
  punta: T45:<br />lunghezza mm: 270&nbsp;&nbsp;<br />lama Ø / lungh. mm: 8/150
</p>"|Sì|95703105|6|http://www.omniaplant.com/immagini_shop/1463822.jpg|1|451.360|Valex S.P.A.|131442378444|3,1818|-||0|0||6|0|6|0|6|0|0|||31/12/2013|31/12/2013||1,7317|1,7317||Regolare|cm|||||||||kg|0,2|0,2|
1463829|Cacciavite Reversibile|Art. con magazzino|Utensili Manuali|Cacciaviti e Inserti>>Cacciaviti||22|4,7|4|4,2661||6,99||[Prezzo forn. (ivato)] + 50% Arr. €0,1|[Prezzo forn. (ivato)] + 40% + €0,5|||"CACCIAVITE REVERSIBILE PER VITI CON INTAGLIO E PHILLIPS
Lama in acciaio cromo vanadio - Punta magnetica brunita - Dimensioni indicate su lama e testa - Impugnatura morbida bimateriale con punti di appoggio per il pollice per una impugnatura piu' sicura.
Fornito in SCATOLA QUADRICR. Appendibile"|8004878665271|837|VALEX|"<p>
  punta: PH 2- 6,5x1,2:<br />lunghezza mm: 220&nbsp;&nbsp;<br />lama Ø / lungh. mm:
  6/100
</p>"|Sì|95703105|6|http://www.omniaplant.com/immagini_shop/1463829.jpg|1|451.360|Valex S.P.A.|141590019845|2,205|-||0|0,66||13|10|3|0|3|0|0,64|05/09/2015|04/08/2015|31/12/2013|23/09/2014|11/04/2015|2,205|2,205|3,8524|Regolare|cm|||||||||kg|0,2|0,2|
1463813|Cacciaviti 10 Pezzi Flat + Phillips|Art. con magazzino|Utensili Manuali|Cacciaviti e Inserti>>Cacciaviti|PZ|22|19,9|19,8|19,6381||6,99||[Prezzo forn. (ivato)] + 45% Arr. €0,1|[Prezzo forn. (ivato)] + 40% + €0,5|||"CACCIAVITI PER VITI CON INTAGLIO E PHILLIPS SERIE 10 PEZZI
6 cacciaviti impronta per viti con intaglio 3x0,5mm-4x0,8mm-5,5x1mm-6,5x1,2mm-8x1,2mm-nano 4x0,8mm, 4 cacciaviti impronta phillips PH0-PH1-PH2-PH3 - Lama in acciaio cromo vanadio - Punta magnetica brunita - Dimensioni indicate su lama e testa - Impugnatura morbida bimateriale con punti di appoggio per il pollice per una impugnatura piu' sicura.
Fornito in SCATOLA QUADRICR. Appendibile"|8004878634406|839|VALEX||Sì|95703105|6|http://www.omniaplant.com/immagini_shop/1463813.jpg|1|451.360|Valex S.P.A.|131442378656|11,205|Valex Primavera 2015||0|0||12|10|2|0|2|0|0,64|20/07/2015|20/07/2015|31/12/2013|03/11/2014|03/04/2015|10,372|10,53|15,3369|Regolare|cm|||||||||kg|0,8|0,8|
1463828|Cacciaviti 5 Pezzi Testa Battente|Art. con magazzino|Utensili Manuali|Cacciaviti e Inserti>>Cacciaviti||22|20|14|13,5354||6,99||[Prezzo forn. (ivato)] + 50% Arr. €0,1|[Prezzo forn. (ivato)] + 40% + €0,5|||"CACCIAVITI TESTA BATTENTE PER VITI CON INTAGLIO E PHILLIPS SERIE 5 PZ
3 cacciaviti impronta per viti con intaglio 5,5x1mm-6,5x1,2mm-8x1,2mm, 2 cacciaviti impronta phillips PH2-PH3 - Lama in acciaio cromo vanadio - Punta magnetica brunita - Dimensioni indicate su lama e testa - Impugnatura morbida bimateriale con punti di appoggio per il pollice per una impugnatura piu' sicura.
Fornito in SCATOLA QUADRICR. Appendibile"|8004878663437|838|VALEX||Sì|95703105|6|http://www.omniaplant.com/immagini_shop/1463828.jpg|1|451.360|Valex S.P.A.|131442378637|7,632|-||0|0||7|4|3|0|3|0|0,25|05/04/2016|05/04/2016|31/12/2013|31/12/2013|18/12/2014|||14,2295|Regolare|cm|||||||||kg|0,8|0,8|
1463810|Cacciaviti 6 Pezzi Flat + Phillips|Art. con magazzino|Utensili Manuali|Cacciaviti e Inserti>>Cacciaviti|PZ|22|10,9|11,4|11,1067||6,99||[Prezzo forn. (ivato)] + 50% Arr. €0,1|[Prezzo forn. (ivato)] + 40% + €0,5|||"CACCIAVITI PER VITI CON INTAGLIO E PHILLIPS SERIE 6 PEZZI
4 cacciaviti impronta per viti con intaglio 3x0,5mm-3,5x0,6mm-4x0,8mm-5,5x1mm, 2 cacciaviti impronta phillips PH1-PH2 - Lama in acciaio cromo vanadio - Punta magnetica brunita - Dimensioni indicate su lama e testa - Impugnatura morbida bimateriale con punti di appoggio per il pollice per una impugnatura piu' sicura.
Fornito in SCATOLA QUADRICR. Appendibile"|8004878634376|840|VALEX||Sì|95703105|6|http://www.omniaplant.com/immagini_shop/1463810.jpg|1|451.360|Valex S.P.A.|131442378688|6,21|Valex Primavera 2015||0|0||16|15|1|0|1|0|0,95|18/05/2015|18/05/2015|31/12/2013|16/07/2014|09/03/2015|5,805|5,805|8,6284|Regolare|cm|||||||||kg|0,5|0,5|
1463811|Cacciaviti 6 Pezzi Flat + Pozidrive|Art. con magazzino|Utensili Manuali|Cacciaviti e Inserti>>Cacciaviti|PZ|22|10,9|11,2|10,953||6,99||[Prezzo forn. (ivato)] + 50% Arr. €0,1|[Prezzo forn. (ivato)] + 40% + €0,5|||"CACCIAVITI PER VITI CON INTAGLIO E POZIDRIV SERIE 6 PEZZI
3 cacciaviti impronta per viti con intaglio 3x0,5mm-4x0,8mm-5,5x1mm, 3 cacciaviti impronta pozidriv PZ0-PZ1-PZ2 - Lama in acciaio cromo vanadio - Punta magnetica brunita - Dimensioni indicate su lama e testa - Impugnatura morbida bimateriale con punti di appoggio per il pollice per una impugnatura piu' sicura.
Fornito in SCATOLA QUADRICR. Appendibile"|8004878634383|841|VALEX||Sì|95703105|6|http://www.omniaplant.com/immagini_shop/1463811.jpg|1|451.360|Valex S.P.A.|131442378713|6,12|Valex Primavera 2015||0|0||14|11|3|0|3|0|0,7|23/08/2015|21/08/2015|31/12/2013|03/11/2014|08/01/2015|5,715|5,715|8,6065|Regolare|cm|||||||||kg|0,6|0,6|
1463812|Cacciaviti 6 Pezzi Resistorx|Art. con magazzino|Utensili Manuali|Cacciaviti e Inserti>>Cacciaviti|PZ|22|12,5|12,5|12,1827||6,99||[Prezzo forn. (ivato)] + 50% Arr. €0,1|[Prezzo forn. (ivato)] + 40% + €0,5|||"CACCIAVITI RESISTORX SERIE 6 PEZZI
6 cacciaviti impronta resistorx T10-T15-T20-T25-T27-T30 - Lama in acciaio cromo vanadio - Punta magnetica brunita - Dimensioni indicate su lama e testa - Impugnatura morbida bimateriale con punti di appoggio per il pollice per una impugnatura piu' sicura.
Fornito in SCATOLA QUADRICR. Appendibile"|8004878634390|842|VALEX||Sì|95703105|6|http://www.omniaplant.com/immagini_shop/1463812.jpg|1|451.360|Valex S.P.A.|131442378746|6,84|Valex Primavera 2015||0|0||5|3|2|0|2|0|0,19|25/02/2016|25/02/2016|31/12/2013|31/12/2013|19/09/2014|||11,3115|Regolare|cm|||||||||kg|0,6|0,6|
